PRODUCT_ID,DEPARTMENT,dunn_name,dunn_ingredients,nut_name,nut_ingredients,cholesterol,energy,fatty acids total monounsaturated,fatty acids total polyunsaturated,fatty acids total saturated,fiber,protein,sodium,sugars,total lipid,vitamin a,vitamin b-12,vitamin b-6,vitamin e,vitamin k
639768,NUTRITION,RICE CAKES LARGE - RICE CAKES,"['larg', 'rice', 'cake']",Cake made with glutinous rice,"['cake', 'glutin', 'rice']",0.0,276.0,0.379,0.17,5.48,1.2,2.22,35.0,31.12,6.45,0.0,0.0,0.11199999999999999,0.0,0.0
412771,NUTRITION,RICE CAKES RICE CAKES,"['rice', 'cake']",Cake made with glutinous rice,"['cake', 'glutin', 'rice']",0.0,276.0,0.379,0.17,5.48,1.2,2.22,35.0,31.12,6.45,0.0,0.0,0.11199999999999999,0.0,0.0
634567,NUTRITION,CHIPS&SNACKS SPECIALTY CHIPS (SOY CRISPS/PI,"['specialti', 'chip', 'soy', 'crisp']",Soy chips,"['soy', 'chip']",0.0,385.0,1.661,4.018,1.102,3.5,26.5,842.0,1.8,7.35,0.0,0.0,0.513,0.0,11.9
348399,NUTRITION,SNKS/CKYS/CRKR/CNDY SPECIALTY CHIPS (SOY CRISPS/PI,"['specialti', 'chip', 'soy', 'crisp']",Soy chips,"['soy', 'chip']",0.0,385.0,1.661,4.018,1.102,3.5,26.5,842.0,1.8,7.35,0.0,0.0,0.513,0.0,11.9
866875,PRODUCE,CITRUS CITRUS - OTHER,['citru'],"Sorbet, fruit, citrus flavor","['sorbet', 'fruit', 'citru', 'flavor']",0.0,95.0,0.0,0.0,0.0,0.1,0.5,8.0,19.99,0.0,1.0,0.0,0.018000000000000002,0.0,0.1
49748,GROCERY,FRUIT - SHELF STABLE MANDARIN ORANGES/CITRUS SECT,"['mandarin', 'orang', 'citru', 'sect']","Sorbet, fruit, citrus flavor","['sorbet', 'fruit', 'citru', 'flavor']",0.0,95.0,0.0,0.0,0.0,0.1,0.5,8.0,19.99,0.0,1.0,0.0,0.018000000000000002,0.0,0.1
78945,GROCERY,REFRGRATD JUICES/DRNKS DAIRY CASE CITRUS PNCH/OJ SUBS,"['dairi', 'case', 'citru', 'pnch', 'sub']","Sorbet, fruit, citrus flavor","['sorbet', 'fruit', 'citru', 'flavor']",0.0,95.0,0.0,0.0,0.0,0.1,0.5,8.0,19.99,0.0,1.0,0.0,0.018000000000000002,0.0,0.1
131669,PRODUCE,CITRUS GRAPEFRUIT,['grapefruit'],"Grapefruit, raw",['grapefruit'],0.0,32.0,0.013000000000000001,0.024,0.013999999999999999,1.1,0.63,0.0,6.98,0.1,46.0,0.0,0.042,0.0,0.0
155768,PRODUCE,CITRUS LEMONS,['lemon'],"Lemon, raw",['lemon'],0.0,29.0,0.011000000000000001,0.08900000000000001,0.039,2.8,1.1,2.0,2.5,0.3,1.0,0.0,0.08,0.0,0.0
6602425,PRODUCE,CITRUS MISC HOLIDAYS,"['misc', 'holiday']","Cake, fruit cake, light or dark, holiday type cake","['cake', 'fruit', 'light', 'dark', 'holiday']",5.0,324.0,4.2,3.323,1.048,3.7,2.9,101.0,27.42,9.1,7.0,0.01,0.046,0.0,1.5
