,COMMODITY_DESC,SUB_COMMODITY_DESC,SALES_VALUE,QUANTITY
1049,CRACKERS/MISC BKD FD,VENDING SIZE/SNGL SERVE CRACKE,503.80000000000143,757
2105,HOUSEHOLD CLEANG NEEDS,GLASS CLEANERS,2169.410000000001,757
3157,SEAFOOD - MISC,SEAFOOD-MISC-SAUCES/MARIN-WET,1305.1600000000012,755
3104,SALADS/DIPS,PROTIEN SALADS - BULK,2953.9400000000032,752
3084,SALAD BAR,CONDIMENTS/SUPPLIES,218.90000000000026,750
1988,HISPANIC,HISPANIC CARBONATED BEVERAGES,531.0099999999996,745
1363,FD WRAPS/BAGS/TRSH BG,PLASTIC WRAP (SARANETC.),1853.860000000008,742
586,CANDY - PACKAGED,SEASONAL CANDY BOX NON-CHOCOLA,845.6000000000006,742
2102,HOUSEHOLD CLEANG NEEDS,FLOOR - DILUTABLES,2006.730000000004,742
1542,FLUID MILK PRODUCTS,EGG NOG/BOILED CUSTARD,1829.7100000000005,734
1963,HERBS,HERBS PARSLEY,812.7300000000047,733
3309,SOFT DRINKS,MIXERS(TONIC WTR/CLUB SODA/GNG,581.9299999999968,728
3703,UNKNOWN,INSTORE CUT VEGETABLES,1886.660000000004,726
1999,HISPANIC,MEXICAN PEPPERS CHILIES,951.4100000000028,725
638,CARROTS,CARROTS - BULK,344.97999999999985,720
3275,SNACKS,SNACKS: DRY,1884.8800000000006,718
1616,FROZEN MEAT,FRZN MULTI SERVE ENTREES ALL,2590.199999999995,714
377,BEEF,RIBS,4121.860000000005,706
168,BABYFOOD,BABY FOOD,486.4300000000002,705
3139,SEAFOOD - FROZEN,SEAFOOD-FRZ-IQF COOKED SHRIMP,5126.5599999999295,704
2878,PORK,BUTTS,2357.040000000002,701
1134,DISHWASH DETERGENTS,AUTO DISH DETERGENT - MONODOSE,2756.6999999999853,701
449,BREAKFAST SAUSAGE/SANDWICHES,FRZN BREAKFAST ENTREES/SANDWIC,3210.559999999977,699
1105,DIETARY AID PRODUCTS,LIQUID NUTRITION FOR ADULTS,5135.449999999944,698
2890,PORK,LOIN - CHOPS BONE-IN,3216.730000000004,696
1620,FROZEN MEAT,PIZZA,1793.7500000000036,691
981,COOKWARE & BAKEWARE,METAL BAKEWARE,3139.4399999999705,690
665,CHARCOAL AND LIGHTER FLUID,FIREWOOD,3531.6399999999853,686
2104,HOUSEHOLD CLEANG NEEDS,FURNITURE,2412.7899999999936,686
3034,REFRIGERATED,JUICE (UNDER 10% JUICE),763.4200000000011,685
824,COFFEE,FLAVORED BEAN COFFEE,4535.969999999986,685
2422,MAGAZINE,TABLOIDS-MAGAZINE,1936.4300000000019,685
826,COFFEE,GROUND DECAFFINATED,3055.059999999986,683
864,COLD AND FLU,COLD AND FLU - PSE,3104.119999999985,681
2990,PROCESSED,PROCESSED OTHER,1266.3599999999963,679
2738,ORGANICS FRUIT & VEGETABLES,ORGANIC TROPICAL FRUIT,823.4100000000009,679
156,BABY HBC,COTTON COTTON SWABS,1377.6100000000022,673
3162,SEAFOOD - SHELF STABLE,MISC.CND SEAFOODS (CRABETC),1395.020000000001,671
